danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.896,0.586,10,-6.687,0,0.055900000000000005,0.10400000000000001,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4
0.629,0.498,5,-7.47,0,0.0373,0.405,0.0,0.113,0.492,127.921,audio_features,7586fVxjKm5IoVTTgDEwcD,spotify:track:7586fVxjKm5IoVTTgDEwcD,https://api.spotify.com/v1/tracks/7586fVxjKm5IoVTTgDEwcD,https://api.spotify.com/v1/audio-analysis/7586fVxjKm5IoVTTgDEwcD,198750,4
0.549,0.307,11,-9.171,0,0.0351,0.776,0.0,0.08710000000000001,0.428,135.57,audio_features,1kN9UiyOSRVCrSc49ft0lp,spotify:track:1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/tracks/1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/audio-analysis/1kN9UiyOSRVCrSc49ft0lp,221693,4
0.74,0.309,3,-8.032,1,0.0342,0.88,0.0,0.18,0.316,114.974,audio_features,12tfvgpKq3HakDQKYvZHzT,spotify:track:12tfvgpKq3HakDQKYvZHzT,https://api.spotify.com/v1/tracks/12tfvgpKq3HakDQKYvZHzT,https://api.spotify.com/v1/audio-analysis/12tfvgpKq3HakDQKYvZHzT,226516,4
0.506,0.704,11,-7.527,1,0.0379,0.155,0.0,0.272,0.47900000000000004,79.496,audio_features,6esxfvn6Ybmj5TRC0O0cG0,spotify:track:6esxfvn6Ybmj5TRC0O0cG0,https://api.spotify.com/v1/tracks/6esxfvn6Ybmj5TRC0O0cG0,https://api.spotify.com/v1/audio-analysis/6esxfvn6Ybmj5TRC0O0cG0,194829,4
0.441,0.276,7,-8.509,1,0.0315,0.871,5.7400000000000006e-05,0.0833,0.228,90.234,audio_features,0FmEXlmo3xyGnZ3UumLdop,spotify:track:0FmEXlmo3xyGnZ3UumLdop,https://api.spotify.com/v1/tracks/0FmEXlmo3xyGnZ3UumLdop,https://api.spotify.com/v1/audio-analysis/0FmEXlmo3xyGnZ3UumLdop,219653,4
0.619,0.26,10,-9.092,1,0.0439,0.0758,0.00032399999999999996,0.111,0.538,76.668,audio_features,14F5HGjPCHXFPQwBqr2fZd,spotify:track:14F5HGjPCHXFPQwBqr2fZd,https://api.spotify.com/v1/tracks/14F5HGjPCHXFPQwBqr2fZd,https://api.spotify.com/v1/audio-analysis/14F5HGjPCHXFPQwBqr2fZd,181295,4
0.805,0.654,7,-7.072,1,0.056,0.00271,0.009930000000000001,0.14100000000000001,0.842,89.738,audio_features,6qH6xP8tzxvZlCcmHit4AL,spotify:track:6qH6xP8tzxvZlCcmHit4AL,https://api.spotify.com/v1/tracks/6qH6xP8tzxvZlCcmHit4AL,https://api.spotify.com/v1/audio-analysis/6qH6xP8tzxvZlCcmHit4AL,252293,4
0.509,0.637,4,-4.83,0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.378,172.006,audio_features,5oO3drDxtziYU2H1X23ZIp,spotify:track:5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000,3
0.6890000000000001,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059000000000000004,171.403,audio_features,7MJQ9Nfxzh8LPZ9e9u68Fq,spotify:track:7MJQ9Nfxzh8LPZ9e9u68Fq,https://api.spotify.com/v1/tracks/7MJQ9Nfxzh8LPZ9e9u68Fq,https://api.spotify.com/v1/audio-analysis/7MJQ9Nfxzh8LPZ9e9u68Fq,320627,4
0.397,0.17200000000000001,6,-15.698,0,0.044500000000000005,0.841,6.780000000000001e-05,0.108,0.123,101.275,audio_features,4eSGSqP2TZvvX0kadZZttM,spotify:track:4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/tracks/4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/audio-analysis/4eSGSqP2TZvvX0kadZZttM,265120,4
0.5730000000000001,0.901,4,-4.42,1,0.0408,0.03,0.00661,0.171,0.33,118.016,audio_features,64aEa2sELbvysQhFpQFjJm,spotify:track:64aEa2sELbvysQhFpQFjJm,https://api.spotify.com/v1/tracks/64aEa2sELbvysQhFpQFjJm,https://api.spotify.com/v1/audio-analysis/64aEa2sELbvysQhFpQFjJm,359947,4
0.425,0.391,1,-18.456,1,0.0383,0.763,0.735,0.106,0.586,73.875,audio_features,3pOdjS5pZsSmYfoTfd7KBi,spotify:track:3pOdjS5pZsSmYfoTfd7KBi,https://api.spotify.com/v1/tracks/3pOdjS5pZsSmYfoTfd7KBi,https://api.spotify.com/v1/audio-analysis/3pOdjS5pZsSmYfoTfd7KBi,211200,4
0.6000000000000001,0.23,4,-8.576,1,0.128,0.766,0.0,0.09630000000000001,0.28500000000000003,149.636,audio_features,5qTeqJdxEU1nwpqih1ghPH,spotify:track:5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/tracks/5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/audio-analysis/5qTeqJdxEU1nwpqih1ghPH,186967,4
0.496,0.10200000000000001,8,-23.562,0,0.0455,0.989,0.924,0.111,0.357,154.871,audio_features,2keT649m2xIywngAVJHsuC,spotify:track:2keT649m2xIywngAVJHsuC,https://api.spotify.com/v1/tracks/2keT649m2xIywngAVJHsuC,https://api.spotify.com/v1/audio-analysis/2keT649m2xIywngAVJHsuC,249704,4
0.422,0.745,8,-4.632,1,0.0378,0.221,0.0,0.0981,0.588,95.487,audio_features,6cAKeFFYW2aClZSUyvqAEW,spotify:track:6cAKeFFYW2aClZSUyvqAEW,https://api.spotify.com/v1/tracks/6cAKeFFYW2aClZSUyvqAEW,https://api.spotify.com/v1/audio-analysis/6cAKeFFYW2aClZSUyvqAEW,193447,4
0.6960000000000001,0.664,8,-3.271,0,0.11,0.010400000000000001,0.0,0.0932,0.8270000000000001,96.826,audio_features,3uSh1HVavcpCFhAUP5Di8c,spotify:track:3uSh1HVavcpCFhAUP5Di8c,https://api.spotify.com/v1/tracks/3uSh1HVavcpCFhAUP5Di8c,https://api.spotify.com/v1/audio-analysis/3uSh1HVavcpCFhAUP5Di8c,140101,4
0.553,0.727,5,-6.905,1,0.034800000000000005,0.025400000000000002,0.011300000000000001,0.107,0.28600000000000003,173.972,audio_features,7k0wVBW3cvV6Xmb87JikIf,spotify:track:7k0wVBW3cvV6Xmb87JikIf,https://api.spotify.com/v1/tracks/7k0wVBW3cvV6Xmb87JikIf,https://api.spotify.com/v1/audio-analysis/7k0wVBW3cvV6Xmb87JikIf,191376,4
0.639,0.78,10,-4.212,0,0.0354,0.00978,1.73e-05,0.0883,0.507,139.967,audio_features,4wJ0RZoBtC6dg31w6QJ28B,spotify:track:4wJ0RZoBtC6dg31w6QJ28B,https://api.spotify.com/v1/tracks/4wJ0RZoBtC6dg31w6QJ28B,https://api.spotify.com/v1/audio-analysis/4wJ0RZoBtC6dg31w6QJ28B,187146,4
0.38,0.339,3,-7.885,1,0.033800000000000004,0.6910000000000001,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
0.397,0.17200000000000001,6,-15.698,0,0.044500000000000005,0.841,6.780000000000001e-05,0.108,0.123,101.275,audio_features,4eSGSqP2TZvvX0kadZZttM,spotify:track:4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/tracks/4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/audio-analysis/4eSGSqP2TZvvX0kadZZttM,265120,4
0.676,0.6950000000000001,0,-8.327,1,0.245,0.352,0.0,0.11900000000000001,0.14400000000000002,90.268,audio_features,5zpDHEU12zATwLGvozxPw2,spotify:track:5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/tracks/5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/audio-analysis/5zpDHEU12zATwLGvozxPw2,303813,4
0.634,0.543,1,-13.391,0,0.181,0.525,0.0,0.232,0.467,121.557,audio_features,7MDfN1ldfTMtuXXdVz2Pzc,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/tracks/7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/audio-analysis/7MDfN1ldfTMtuXXdVz2Pzc,186440,4
0.599,0.8310000000000001,11,-4.188,1,0.0439,0.0603,0.0,0.20400000000000001,0.624,132.019,audio_features,6VIYEyjNW71NnIGEduf8D8,spotify:track:6VIYEyjNW71NnIGEduf8D8,https://api.spotify.com/v1/tracks/6VIYEyjNW71NnIGEduf8D8,https://api.spotify.com/v1/audio-analysis/6VIYEyjNW71NnIGEduf8D8,211167,4
0.765,0.393,6,-9.616,1,0.031100000000000003,0.633,0.0,0.14200000000000002,0.224,121.909,audio_features,2w9nvs1ByWUGkED4M0ug34,spotify:track:2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/tracks/2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/audio-analysis/2w9nvs1ByWUGkED4M0ug34,153863,4
0.577,0.523,0,-5.538,0,0.0429,0.491,0.0,0.147,0.29,134.93,audio_features,06u5LrUpbosQlQ1QJFhPpG,spotify:track:06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/tracks/06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/audio-analysis/06u5LrUpbosQlQ1QJFhPpG,231400,4
0.587,0.765,11,-4.411,1,0.0646,0.159,0.0,0.233,0.532,89.936,audio_features,6unpxvrSPh6n1VAj1hMyCG,spotify:track:6unpxvrSPh6n1VAj1hMyCG,https://api.spotify.com/v1/tracks/6unpxvrSPh6n1VAj1hMyCG,https://api.spotify.com/v1/audio-analysis/6unpxvrSPh6n1VAj1hMyCG,188320,4
