,genres,artist_popularity
Sharon Van Etten,"['art pop', 'chamber pop', 'dream pop', 'indie pop', 'indie rock', 'melancholia', 'new jersey indie', 'singer-songwriter']",56
Goreshit,['glitchbreak'],47
Capcom Sound Team,"['anime score', 'japanese vgm', 'sound team']",55
Doja Cat,"['dance pop', 'pop']",86
Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",65
mt. fujitive,"['chillhop', 'lo-fi beats']",51
Shou,['rave funk'],33
Lady Gaga,"['art pop', 'dance pop', 'pop']",84
Kanye West,"['chicago rap', 'rap']",90
Sofya Wang,[],25
Stalking Gia,[],41
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93
Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",73
Various Artists,[],0
South North,[],36
Alicia Keys,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",76
Deniz Akbulut,"['indie game soundtrack', 'japanese vgm']",27
Danny Brown,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']",59
B0nds,[],20
slr,"['chillhop', 'lo-fi beats']",30
Oh Wonder,['electropop'],67
Kali Uchis,"['colombian pop', 'pop']",79
Adeodat Warfield,[],27
Lena Raine,"['indie game soundtrack', 'spectra']",56
Xandra,[],29
100 gecs,"['escape room', 'hyperpop', 'proto-hyperpop', 'scenecore']",57
Pigeondust,"['chillhop', 'japanese beats', 'jazz boom bap']",30
Rina Sawayama,"['art pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",66
Deca,"['jazz rap', 'lo-fi rap', 'nyc rap']",41
H E R B,"['chillhop', 'lo-fi beats']",43
Sleepdealer,"['chillhop', 'lo-fi beats']",45
Fergie,"['dance pop', 'pop', 'post-teen pop', 'rap', 'urban contemporary']",68
Clairo,"['bedroom pop', 'indie pop', 'pop']",75
Fujitsu,"['chillhop', 'lo-fi beats']",46
Conan Gray,"['bedroom pop', 'pop']",80
The Home Depot,[],38
Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",81
The Greeting Committee,"['indie pop', 'indie rock', 'kc indie', 'modern rock']",51
HOLYCHILD,"['indie poptimism', 'la indie']",38
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74
the bird and the bee,"['indie pop', 'la indie']",44
Jazz Fruits Music,['lo-fi product'],69
Tomppabeats,"['chillhop', 'japanese chillhop', 'lo-fi beats']",57
Beach Bunny,"['bubblegrunge', 'chicago indie', 'indie pop', 'indie rock']",69
Kesha,"['dance pop', 'pop', 'post-teen pop']",75
Fifth Harmony,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",68
Amaria,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",48
Yung Heazy,['bedroom pop'],32
Wun Two,"['chillhop', 'lo-fi beats']",52
The Buttress,['escape room'],40
Azealia Banks,"['alternative r&b', 'dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'rap', 'trap queen']",61
Fickle Friends,"['gauze pop', 'indie pop', 'indie poptimism', 'metropopolis']",43
Elohim,"['electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'la pop', 'vapor soul', 'vapor twitch']",53
Rico Nasty,"['alternative r&b', 'dance pop', 'dmv rap', 'escape room', 'pop', 'rap', 'trap queen']",65
Hazy Year,"['chillhop', 'lo-fi beats']",38
ABBA,"['europop', 'swedish pop']",79
Ashnikko,"['dance pop', 'electropop', 'escape room', 'pop']",68
Elijah Who,"['lo-fi beats', 'lo-fi chill', 'sad lo-fi']",56
Chloe x Halle,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",58
PSY,"['k-pop', 'k-rap', 'korean old school hip hop']",66
Lykke Li,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",67
Pedro Silva,[],28
So Much Light,[],26
Kudasaibeats,['lo-fi beats'],50
Beach House,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",71
PinkPantheress,[],71
Too Ugly,[],29
eevee,"['chillhop', 'japanese chillhop', 'lo-fi beats']",50
charlie toØ human,"['chillhop', 'lo-fi beats']",41
L'Indécis,"['chillhop', 'jazz boom bap']",44
beabadoobee,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pop']",72
MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",72
Fiona Apple,"['art pop', 'chamber pop', 'dark pop', 'indie pop', 'lilith', 'permanent wave', 'piano rock', 'singer-songwriter']",61
Monica Riskey,[],32
Childish Gambino,"['atl hip hop', 'hip hop', 'pop', 'rap']",78
Perfume Genius,"['art pop', 'chamber pop', 'chamber psych', 'chillwave', 'electronica', 'electropop', 'escape room', 'experimental pop', 'indie pop', 'indie rock', 'seattle indie', 'singer-songwriter']",54
jhfly,"['chillhop', 'lo-fi beats']",44
Kelsey Lu,"['alternative r&b', 'art pop', 'escape room', 'experimental r&b']",45
"Tyler, The Creator","['hip hop', 'rap']",83
Pitbull,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81
Tempalay,"['j-rock', 'japanese alternative rock']",43
Fatb,['lo-fi beats'],41
frad,['anime lo-fi'],55
aimless,"['chillhop', 'lo-fi beats']",47
Otoboke Beaver,"['j-punk', 'japanese girl punk', 'japanese pop punk', 'japanese punk rock']",37
Daft Punk,"['electro', 'filter house']",79
Gus Dapperton,"['bedroom pop', 'indie pop', 'indie poptimism']",60
Kero Kero Bonito,"['escape room', 'japanese electropop']",54
Princess Nokia,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'pop', 'trap queen', 'viral rap']",60
Toby Fox,"['dream smp', 'indie game soundtrack', 'undertale']",70
The Internet,"['alternative r&b', 'indie soul', 'lgbtq+ hip hop', 'neo soul', 'r&b', 'rap']",60
Mazzy Star,"['alternative rock', 'art pop', 'dream pop', 'melancholia', 'rock', 'shoegaze', 'slowcore']",64
Mlma,[],25
Flo Milli,"['dance pop', 'pop', 'rap', 'viral rap']",65
Ya Boi Pasta,[],21
Machine Girl,['digital hardcore'],57
Diskette Park,"['future funk', 'hardvapour', 'mallsoft', 'vaporwave']",28
Lil Chawley,[],18
Seth Parker,[],33
Death Grips,"['escape room', 'experimental hip hop', 'industrial hip hop', 'underground hip hop']",58
Fishmans,"['classic j-rock', 'j-rock', 'japanese dream pop', 'shibuya-kei']",44
Sylvan Esso,"['electropop', 'etherpop', 'indie pop', 'indie rock']",57
ALASKALASKA,['london indie'],37
Chillhop Music,['lo-fi product'],32
BLACKPINK,"['k-pop', 'k-pop girl group']",85
fantompower,"['chillhop', 'lo-fi beats']",45
Qumu,"['lo-fi vgm', 'otacore', 'vgm remix']",53
Greg Spero,"['indie jazz', 'uk contemporary jazz']",35
Sabrina Claudio,"['pop', 'r&b']",62
Slim Poppins,['trap queen'],14
Curren$y,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",63
Léonie Deval,[],37
Brooklynn,['indie poptimism'],16
chief.,"['chillhop', 'lo-fi beats']",48
SwuM,"['chillhop', 'lo-fi beats', 'phonk']",52
Mitski,"['brooklyn indie', 'pop']",78
Elton Aura,['bedroom soul'],32
Baby Keem,"['hip hop', 'rap']",79
HM Surf,['lo-fi beats'],55
BIP LING,['proto-hyperpop'],22
Remi Wolf,"['indie pop', 'modern alternative pop', 'pop']",63
Citrîne,[],5
Ravyn Lenae,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",58
Gorillaz,['alternative hip hop'],79
Mike Taylor,[],55
Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",64
