,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,master_metadata_album_artist_name,master_metadata_album_album_name,genres,artist_popularity
0,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4,Roddy Ricch,Please Excuse Me for Being Antisocial,"['melodic rap', 'rap', 'trap']",81.0
1,0.629,0.498,5,-7.47,0,0.0373,0.405,0.0,0.113,0.492,127.921,audio_features,7586fVxjKm5IoVTTgDEwcD,spotify:track:7586fVxjKm5IoVTTgDEwcD,https://api.spotify.com/v1/tracks/7586fVxjKm5IoVTTgDEwcD,https://api.spotify.com/v1/audio-analysis/7586fVxjKm5IoVTTgDEwcD,198750,4,Alexander Stewart,echo,"['alt z', 'pop', 'post-teen pop']",57.0
2,0.549,0.307,11,-9.171,0,0.0351,0.776,0.0,0.0871,0.428,135.57,audio_features,1kN9UiyOSRVCrSc49ft0lp,spotify:track:1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/tracks/1kN9UiyOSRVCrSc49ft0lp,https://api.spotify.com/v1/audio-analysis/1kN9UiyOSRVCrSc49ft0lp,221693,4,Justin Bieber,Believe Acoustic,"['canadian pop', 'pop']",90.0
3,0.74,0.309,3,-8.032,1,0.0342,0.88,0.0,0.18,0.316,114.974,audio_features,12tfvgpKq3HakDQKYvZHzT,spotify:track:12tfvgpKq3HakDQKYvZHzT,https://api.spotify.com/v1/tracks/12tfvgpKq3HakDQKYvZHzT,https://api.spotify.com/v1/audio-analysis/12tfvgpKq3HakDQKYvZHzT,226516,4,Matt Johnson,"Acoustic Hits, Vol. 4","['acoustic cover', 'viral pop']",54.0
4,0.506,0.704,11,-7.527,1,0.0379,0.155,0.0,0.272,0.479,79.496,audio_features,6esxfvn6Ybmj5TRC0O0cG0,spotify:track:6esxfvn6Ybmj5TRC0O0cG0,https://api.spotify.com/v1/tracks/6esxfvn6Ybmj5TRC0O0cG0,https://api.spotify.com/v1/audio-analysis/6esxfvn6Ybmj5TRC0O0cG0,194829,4,Hjalmer,Overtænker,['danish pop'],46.0
5,0.441,0.276,7,-8.509,1,0.0315,0.871,5.7400000000000006e-05,0.0833,0.228,90.234,audio_features,0FmEXlmo3xyGnZ3UumLdop,spotify:track:0FmEXlmo3xyGnZ3UumLdop,https://api.spotify.com/v1/tracks/0FmEXlmo3xyGnZ3UumLdop,https://api.spotify.com/v1/audio-analysis/0FmEXlmo3xyGnZ3UumLdop,219653,4,Citybois,BOIS FOREVER,"['danish hip hop', 'danish pop']",44.0
6,0.619,0.26,10,-9.092,1,0.0439,0.0758,0.0003239999999999,0.111,0.538,76.668,audio_features,14F5HGjPCHXFPQwBqr2fZd,spotify:track:14F5HGjPCHXFPQwBqr2fZd,https://api.spotify.com/v1/tracks/14F5HGjPCHXFPQwBqr2fZd,https://api.spotify.com/v1/audio-analysis/14F5HGjPCHXFPQwBqr2fZd,181295,4,Marc Facchini,Breve fra Babylon,['danish alternative rock'],18.0
7,0.805,0.654,7,-7.072,1,0.056,0.00271,0.00993,0.141,0.842,89.738,audio_features,6qH6xP8tzxvZlCcmHit4AL,spotify:track:6qH6xP8tzxvZlCcmHit4AL,https://api.spotify.com/v1/tracks/6qH6xP8tzxvZlCcmHit4AL,https://api.spotify.com/v1/audio-analysis/6qH6xP8tzxvZlCcmHit4AL,252293,4,Shuggie Otis,INSPIRATION INFORMATION,"['classic soul', 'funk', 'psychedelic soul', 'soul', 'southern soul']",50.0
8,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.378,172.006,audio_features,5oO3drDxtziYU2H1X23ZIp,spotify:track:5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000,3,Rihanna,ANTI,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",89.0
9,0.6890000000000001,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,audio_features,7MJQ9Nfxzh8LPZ9e9u68Fq,spotify:track:7MJQ9Nfxzh8LPZ9e9u68Fq,https://api.spotify.com/v1/tracks/7MJQ9Nfxzh8LPZ9e9u68Fq,https://api.spotify.com/v1/audio-analysis/7MJQ9Nfxzh8LPZ9e9u68Fq,320627,4,Eminem,SHADYXV,"['detroit hip hop', 'hip hop', 'rap']",91.0
